PostNumber,DiseaseId,DiseaseName,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName
1,C0149745,Oral Ulcer,,,,,,,,
1,,,C1579838,Sore mouth,,,,,,
1,,,C0027769,Nervousness,,,,,,
1,,,,,,,,,C1281562,Entire tooth
1,,,,,,,,,C0040426,Tooth structure
1,,,,,,,,,C0022359,Jaw
1,,,,,,,,,C1281591,Entire face
1,,,,,,,,,C1281592,Entire neck
8,C3280240,"MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME",,,,,,,,
8,,,C0221423,Illness (finding),,,,,,
24,C0014544,Epilepsy,,,,,,,,
31,C0011334,Dental caries,,,,,,,,
31,,,C0221776,Oral pain,,,,,,
31,,,C0030193,Pain,,,,,,
31,,,,,,,,,C1281562,Entire tooth
34,C0555971,Oral infection,,,,,,,,
37,C0041912,Upper Respiratory Infections,,,,,,,,
37,,,C0030193,Pain,,,,,,
37,,,,,,,,,C0024204,lymph nodes
37,,,,,,,,,C0040426,Tooth structure
41,C0012634,Disease,,,,,,,,
42,C0423086,Staring,,,,,,,,
42,,,,,C0152277,Incision and drainage,,,,
46,C0003123,Anorexia,,,,,,,,
46,,,C0020175,Hunger,,,,,,
46,,,,,C0374711,Surgical repair,,,,
48,C0012634,Disease,,,,,,,,
48,,,,,C0185117,Expression procedure,,,,
48,,,,,C0079613,Adoptive Immunotherapy,,,,
49,C0038379,Strabismus,,,,,,,,
49,,,,,C0040440,Tooth Extraction,,,,
49,,,,,,,,,C0348070,Structure of permanent tooth
49,,,,,,,,,C0022359,Jaw
51,C0011334,Dental caries,,,,,,,,
51,,,C0578994,Unpleasant taste in mouth,,,,,,
51,,,,,C0011331,Dental Procedures,,,,
51,,,,,C0040461,Toothbrushing,,,,
51,,,,,,,,,C0040426,Tooth structure
51,,,,,,,,,C0023759,Lip structure
54,C0026636,Mouth Diseases,,,,,,,,
54,,,,,,,,,C0017562,Gingiva
56,C0000833,Abscess,,,,,,,,
56,,,,,,,,,C1281591,Entire face
59,C0742960,cyst benign,,,,,,,,
59,,,C0030193,Pain,,,,,,
59,,,,,,,,,C1578559,Buccal mucosa
59,,,,,,,,,C1267211,Entire duct
59,,,,,,,,,C0042449,Veins
64,C0270724,Infantile Neuroaxonal Dystrophy,,,,,,,,
64,,,C0221423,Illness (finding),,,,,,
64,,,C0234233,Sore to touch,,,,,,
64,,,,,C0152054,Therapeutic tactile stimulation,,,,
64,,,,,C0152277,Incision and drainage,,,,
64,,,,,C0087111,Therapeutic procedure,,,,
64,,,,,,,,,C0040408,Tongue
70,C0026205,Miosis disorder,,,,,,,,
70,,,C0312414,Menstrual spotting,,,,,,
70,,,,,C0301571,Liquid diet,,,,
70,,,,,C0746569,methadone treatment,,,,
70,,,,,C0087111,Therapeutic procedure,,,,
71,C0423086,Staring,,,,,,,,
71,,,C0683369,Clouded consciousness,,,,,,
71,,,,,,,,,C1281591,Entire face
72,C2931826,Potassium aggravated myotonia,,,,,,,,
73,C0152227,Excessive tearing,,,,,,,,
73,,,C0221423,Illness (finding),,,,,,
73,,,C0013404,Dyspnea,,,,,,
73,,,,,,,,,C1281590,Entire head
73,,,,,,,,,C0038351,Stomach
73,,,,,,,,,C0423866,Lanugo
75,C0012634,Disease,,,,,,,,
81,C0019360,Herpes zoster disease,,,,,,,,
81,,,C0015230,Exanthema,,,,,,
81,,,C0040460,Toothache,,,,,,
81,,,C0030193,Pain,,,,,,
