PostNumber,DiseaseId,DiseaseName,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName
1,C0027765,nervous system disorder,,,,,,,,
1,,,,,C0679637,major surgery,,,,
1,,,,,C2608059,Operation on spinal cord (procedure),,,,
1,,,,,,,,,C1267072,Entire vertebral column
1,,,,,,,,,C1268258,Entire left elbow region
1,,,,,,,,,C0935602,Right thumb
2,C0027765,nervous system disorder,,,,,,,,
2,,,C0015644,Muscular fasciculation,,,,,,
2,,,,,C0441610,Reduction - action,,,,
2,,,,,,,,,C0230365,Structure of right wrist
2,,,,,,,,,C1269612,Entire upper arm
2,,,,,,,,,C0018563,Hand
2,,,,,,,,,C0016504,Foot
3,C0027765,nervous system disorder,,,,,,,,
3,,,,,,,,,C1281590,Entire head
3,,,,,,,,,C1269612,Entire upper arm
3,,,,,,,,,C0018494,Hair
5,C0012634,Disease,,,,,,,,
5,,,,,C0079613,Adoptive Immunotherapy,,,,
11,C0277556,Recurrent disease,,,,,,,,
11,,,C0542476,Forgetful,,,,,,
11,,,C0085624,Burning sensation,,,,,,
11,,,,,C0150189,Distraction training,,,,
16,C0494475,Tonic - clonic seizures,,,,,,,,
16,,,C0036572,Seizures,,,,,,
17,C0027765,nervous system disorder,,,,,,,,
17,,,C0751409,Upper Extremity Paresis,,,,,,
17,,,C0015644,Muscular fasciculation,,,,,,
17,,,C0042963,Vomiting,,,,,,
17,,,C0581881,Heavy head,,,,,,
17,,,C0240129,Knee stiff,,,,,,
17,,,C0026838,Muscle Spasticity,,,,,,
17,,,C0549248,electric shock sensation,,,,,,
17,,,C0004604,Back Pain,,,,,,
17,,,C0026821,Muscle Cramp,,,,,,
17,,,C0040822,Tremor,,,,,,
17,,,C0151315,Neck stiffness,,,,,,
17,,,C0221423,Illness (finding),,,,,,
17,,,C0241042,Shoulder stiff,,,,,,
17,,,C0027497,Nausea,,,,,,
17,,,C3714552,Weakness,,,,,,
17,,,C0427008,Stiffness,,,,,,
17,,,,,C0441610,Reduction - action,,,,
17,,,,,C1522415,Deafferentation procedure,,,,
17,,,,,,,,,C1305065,Entire tibialis anterior
17,,,,,,,,,C2328137,Right longissimus
17,,,,,,,,,C0230347,Left upper arm structure
17,,,,,,,,,C0037303,Bone structure of cranium
17,,,,,,,,,C0224291,Adductor digiti minimi
17,,,,,,,,,C0448478,Peroneus
17,,,,,,,,,C0018563,Hand
17,,,,,,,,,C0828928,Left opponens pollicis
17,,,,,,,,,C0694649,Left deltoid
17,,,,,,,,,C0022359,Jaw
17,,,,,,,,,C1305729,Entire skeletal muscle of gluteal region
17,,,,,,,,,C0815873,Left tibialis anterior
17,,,,,,,,,C1305418,Entire calf of leg (body structure)
17,,,,,,,,,C1269612,Entire upper arm
17,,,,,,,,,C0921179,Left frontalis
19,C0027765,nervous system disorder,,,,,,,,
19,,,C0015672,Fatigue,,,,,,
19,,,C0012833,Dizziness,,,,,,
19,,,C0018681,Headache,,,,,,
19,,,,,,,,,C1281590,Entire head
19,,,,,,,,,C0224456,Skeletal muscle structure of lower leg
20,C0027765,nervous system disorder,,,,,,,,
20,,,C0003862,Arthralgia,,,,,,
20,,,C0278145,Stabbing pain,,,,,,
20,,,C0008031,Chest Pain,,,,,,
20,,,C0152031,Joint swelling,,,,,,
20,,,C2202100,Pain in right hip joint,,,,,,
20,,,C0018681,Headache,,,,,,
20,,,C0740398,left sided paralysis,,,,,,
20,,,C0030193,Pain,,,,,,
20,,,,,C0058928,ECHO protocol,,,,
20,,,,,,,,,C1269612,Entire upper arm
20,,,,,,,,,C0227192,Inferior esophageal sphincter structure
20,,,,,,,,,C1280632,Entire trunk
20,,,,,,,,,C0040067,Thumb structure
20,,,,,,,,,C1281591,Entire face
20,,,,,,,,,C0024109,Lung
20,,,,,,,,,C1281592,Entire neck
21,C0002895,"Anemia, Sickle Cell",,,,,,,,
21,,,C0018989,Hemiparesis,,,,,,
21,,,,,,,,,C0006104,Brain
22,C0027765,nervous system disorder,,,,,,,,
22,,,C0018681,Headache,,,,,,
22,,,C0030193,Pain,,,,,,
23,C0149931,Migraine Disorders,,,,,,,,
23,,,C0221423,Illness (finding),,,,,,
23,,,C0042963,Vomiting,,,,,,
23,,,C2957106,headache severe,,,,,,
23,,,C0231218,Malaise,,,,,,
23,,,C0018681,Headache,,,,,,
23,,,C3714552,Weakness,,,,,,
23,,,C0030193,Pain,,,,,,
23,,,,,C0027741,Nerve Block,,,,
23,,,,,C0087111,Therapeutic procedure,,,,
24,C0027765,nervous system disorder,,,,,,,,
24,,,C0037763,Spasm,,,,,,
24,,,C0231617,Catch - Finding of sensory dimension of pain,,,,,,
24,,,C0012833,Dizziness,,,,,,
24,,,C0042571,Vertigo,,,,,,
24,,,C0018681,Headache,,,,,,
24,,,C0030193,Pain,,,,,,
24,,,,,C1456647,Childhood Immunization,,,,
24,,,,,,,,,C1281590,Entire head
24,,,,,,,,,C1280202,Entire eye
24,,,,,,,,,C0687023,Structure of skeletal muscle of shoulder
24,,,,,,,,,C0015392,Eye
24,,,,,,,,,C1279153,Entire cheek
24,,,,,,,,,C0042449,Veins
25,C3250443,MYOTONIC DYSTROPHY 1,,,,,,,,
25,,,C0010200,Coughing,,,,,,
26,C0037315,Sleep Apnea Syndromes,,,,,,,,
26,,,C0037384,Snoring,,,,,,
26,,,C0557875,Tired,,,,,,
26,,,,,C0185027,Imbrication (procedure),,,,
26,,,,,C1456647,Childhood Immunization,,,,
26,,,,,C3687832,DRUGS,,,,
