PostNumber,DiseaseId,DiseaseName,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName
9,C0014518,Toxic Epidermal Necrolysis,,,,,,,,
9,,,,,C0029151,Oral contraception,,,,
11,C0005779,Blood Coagulation Disorders,,,,,,,,
12,C0033046,Premenstrual syndrome,,,,,,,,
12,,,C1291077,Abdominal bloating,,,,,,
12,,,C0018681,Headache,,,,,,
12,,,C0026821,Muscle Cramp,,,,,,
12,,,,,C0700589,Contraceptive methods,,,,
15,C0005779,Blood Coagulation Disorders,,,,,,,,
22,C3714506,Meckel syndrome type 1,,,,,,,,
22,,,C0557875,Tired,,,,,,
22,,,,,C0700589,Contraceptive methods,,,,
24,C0014175,Endometriosis,,,,,,,,
24,,,C0312414,Menstrual spotting,,,,,,
24,,,C0026821,Muscle Cramp,,,,,,
24,,,,,C0700589,Contraceptive methods,,,,
24,,,,,C0021485,Injection of therapeutic agent,,,,
29,C0852875,eye allergy,,,,,,,,
29,,,,,,,,,C0015392,Eye
31,C3280240,"MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME",,,,,,,,
41,C0017601,Glaucoma,,,,,,,,
41,,,,,C2709207,Rx therapy,,,,
42,C0012634,Disease,,,,,,,,
42,,,C0231218,Malaise,,,,,,
42,,,C0399459,Discomfort in mouth,,,,,,
43,C0030567,Parkinson Disease,,,,,,,,
45,C0005779,Blood Coagulation Disorders,,,,,,,,
46,C0005779,Blood Coagulation Disorders,,,,,,,,
46,,,C0221423,Illness (finding),,,,,,
46,,,C2126231,light bleeding between periods (symptom),,,,,,
46,,,C0312414,Menstrual spotting,,,,,,
46,,,C0030193,Pain,,,,,,
46,,,C0026821,Muscle Cramp,,,,,,
46,,,,,C0700589,Contraceptive methods,,,,
46,,,,,C0029151,Oral contraception,,,,
49,C0013182,Drug Allergy,,,,,,,,
49,,,,,C1963578,Release (procedure),,,,
49,,,,,,,,,C0222041,Shell - Animal skin appendage
58,C0005779,Blood Coagulation Disorders,,,,,,,,
58,,,,,C0029151,Oral contraception,,,,
