PostNumber,DiseaseId,DiseaseName,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName
1,C0262655,Recurrent urinary tract infection,,,,,,,,
1,,,,,C0087111,Therapeutic procedure,,,,
2,C0035086,Renal Osteodystrophy,,,,,,,,
8,C0262655,Recurrent urinary tract infection,,,,,,,,
14,C0262655,Recurrent urinary tract infection,,,,,,,,
14,,,C0008031,Chest Pain,,,,,,
14,,,C0010200,Coughing,,,,,,
14,,,C0030193,Pain,,,,,,
14,,,,,,,,,C0024109,Lung
15,C0262655,Recurrent urinary tract infection,,,,,,,,
18,C0042029,Urinary tract infection,,,,,,,,
18,,,C0234230,"Pain, Burning",,,,,,
18,,,,,C0021485,Injection of therapeutic agent,,,,
19,C0262655,Recurrent urinary tract infection,,,,,,,,
20,C0042029,Urinary tract infection,,,,,,,,
21,C0041912,Upper Respiratory Infections,,,,,,,,
23,C0262655,Recurrent urinary tract infection,,,,,,,,
25,C0262655,Recurrent urinary tract infection,,,,,,,,
27,C0262655,Recurrent urinary tract infection,,,,,,,,
27,,,C0232849,Bladder pain,,,,,,
27,,,C0030193,Pain,,,,,,
28,C0262655,Recurrent urinary tract infection,,,,,,,,
28,,,,,,,,,C1281590,Entire head
38,C3280240,"MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME",,,,,,,,
38,,,C0010200,Coughing,,,,,,
41,C0262655,Recurrent urinary tract infection,,,,,,,,
41,,,,,C2709207,Rx therapy,,,,
43,C0042029,Urinary tract infection,,,,,,,,
43,,,,,C0086511,Knee Replacement Arthroplasty (procedure),,,,
43,,,,,C1533685,Injection procedure,,,,
44,C3280240,"MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME",,,,,,,,
44,,,,,C0870535,Eye Movement Desensitization Reprocessing,,,,
44,,,,,C0009244,Cognitive Therapy,,,,
45,C0262655,Recurrent urinary tract infection,,,,,,,,
45,,,,,C0152060,Transection (procedure),,,,
45,,,,,,,,,C1278919,Entire esophagus
47,C0262655,Recurrent urinary tract infection,,,,,,,,
51,C0262655,Recurrent urinary tract infection,,,,,,,,
51,,,,,,,,,C0227665,Both kidneys
52,C0020538,Hypertensive disease,,,,,,,,
