PostNumber,DiseaseId,DiseaseName,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName
2,C1535939,Pneumocystis jiroveci pneumonia,,,,,,,,
2,,,C0278145,Stabbing pain,,,,,,
2,,,C0234238,Ache,,,,,,
2,,,C0008031,Chest Pain,,,,,,
2,,,C0184567,Acute onset pain,,,,,,
2,,,C0027497,Nausea,,,,,,
2,,,C0278144,Dull pain,,,,,,
2,,,C0015672,Fatigue,,,,,,
2,,,C0012833,Dizziness,,,,,,
2,,,C0232285,Dull chest pain,,,,,,
2,,,C0030193,Pain,,,,,,
2,,,C0455270,Sharp pain,,,,,,
2,,,C0013404,Dyspnea,,,,,,
2,,,,,C2348535,Stenting,,,,
2,,,,,C0741847,Bypass,,,,
2,,,,,C1522704,Exercise Pain Management,,,,
2,,,,,,,,,C0018787,Heart
2,,,,,,,,,C3640698,Mid-Left Anterior Descending Artery
4,C0023211,Left Bundle-Branch Block,,,,,,,,
5,C0149514,Acute bronchitis,,,,,,,,
9,C0017168,Gastroesophageal reflux disease,,,,,,,,
9,,,C0596601,gastrointestinal gas,,,,,,
9,,,C0014724,Eructation,,,,,,
9,,,C0027769,Nervousness,,,,,,
9,,,,,C2973270,Health Checkup,,,,
9,,,,,,,,,C0018787,Heart
9,,,,,,,,,C0042276,Vagus nerve structure
9,,,,,,,,,C0014876,Esophagus
10,C0040253,Tinea of perianal region,,,,,,,,
10,,,C0015230,Exanthema,,,,,,
10,,,C0033774,Pruritus,,,,,,
11,C0036916,Sexually Transmitted Diseases,,,,,,,,
11,,,,,,,,,C0030851,penis
11,,,,,,,,,C0042449,Veins
12,C0036916,Sexually Transmitted Diseases,,,,,,,,
12,,,,,C0024875,Massage,,,,
13,C0036916,Sexually Transmitted Diseases,,,,,,,,
13,,,C0231218,Malaise,,,,,,
13,,,C0677500,Stinging Sensation,,,,,,
13,,,C0040822,Tremor,,,,,,
13,,,C0683369,Clouded consciousness,,,,,,
13,,,,,C0040461,Toothbrushing,,,,
13,,,,,C2003844,Shampooing (action),,,,
13,,,,,,,,,C0036471,Scrotum
13,,,,,,,,,C0030851,penis
13,,,,,,,,,C0018787,Heart
13,,,,,,,,,C1550227,Body Parts - Canal
13,,,,,,,,,C0041967,Urethra
